"","Edad","Salario","Genero"
"1",53,23652,"Mujer"
"2",43,6137,"Mujer"
"3",29,5740,"Mujer"
"4",57,23652,"Mujer"
"5",22,4090,"Mujer"
"6",35,6137,"Mujer"
"7",53,23652,"Mujer"
"8",33,5740,"Mujer"
"9",37,6137,"Mujer"
"10",25,5740,"Mujer"
"11",25,5740,"Mujer"
"12",38,6137,"Mujer"
"13",50,23652,"Mujer"
"14",54,23652,"Mujer"
"15",38,6137,"Mujer"
"16",17,4090,"Mujer"
"17",36,NA,"Mujer"
"18",16,4090,"Mujer"
"19",38,6137,"Mujer"
"20",58,23652,"Mujer"
"21",44,6137,"Mujer"
"22",52,23652,"Mujer"
"23",16,4090,"Mujer"
"24",35,6137,"Mujer"
"25",47,24988,"Mujer"
"26",26,5740,"Mujer"
"27",36,6137,"Mujer"
"28",58,23652,"Mujer"
"29",39,6137,"Mujer"
"30",63,17806,"Mujer"
"31",41,6137,"Mujer"
"32",56,23652,"Mujer"
"33",42,6137,"Mujer"
"34",30,5740,"Mujer"
"35",29,5740,"Mujer"
"36",61,17806,"Mujer"
"37",58,23652,"Mujer"
"38",17,4090,"Mujer"
"39",51,23652,"Mujer"
"40",21,4090,"Mujer"
"41",35,6137,"Mujer"
"42",23,4090,"Mujer"
"43",53,23652,"Mujer"
"44",32,5740,"Mujer"
"45",18,4090,"Mujer"
"46",39,6137,"Mujer"
"47",28,5740,"Mujer"
"48",64,17806,"Mujer"
"49",23,4090,"Mujer"
"50",40,6137,"Mujer"
"51",16,NA,"Mujer"
"52",34,5740,"Mujer"
"53",42,6137,"Mujer"
"54",61,17806,"Mujer"
"55",21,4090,"Mujer"
"56",58,23652,"Mujer"
"57",22,4090,"Mujer"
"58",61,17806,"Mujer"
"59",49,24988,"Mujer"
"60",28,5740,"Mujer"
"61",31,NA,"Mujer"
"62",50,23652,"Mujer"
"63",64,17806,"Mujer"
"64",54,23652,"Mujer"
"65",18,4090,"Mujer"
"66",16,4090,"Mujer"
"67",20,4090,"Mujer"
"68",56,23652,"Mujer"
"69",18,4090,"Mujer"
"70",43,6137,"Mujer"
"71",32,5740,"Mujer"
"72",40,6137,"Mujer"
"73",58,23652,"Mujer"
"74",48,24988,"Mujer"
"75",24,4090,"Mujer"
"76",50,23652,"Mujer"
"77",28,5740,"Mujer"
"78",45,24988,"Mujer"
"79",62,17806,"Mujer"
"80",29,5740,"Mujer"
"81",22,4090,"Mujer"
"82",28,5740,"Mujer"
"83",37,6137,"Mujer"
"84",54,23652,"Mujer"
"85",35,6137,"Mujer"
"86",30,5740,"Mujer"
"87",59,23652,"Mujer"
"88",32,5740,"Mujer"
"89",61,17806,"Mujer"
"90",38,6137,"Mujer"
"91",40,6137,"Mujer"
"92",39,6137,"Mujer"
"93",59,23652,"Mujer"
"94",55,23652,"Mujer"
"95",43,6137,"Mujer"
"96",29,5740,"Mujer"
"97",59,23652,"Mujer"
"98",15,4090,"Mujer"
"99",39,6137,"Mujer"
"100",21,4090,"Mujer"
"101",23,4090,"Mujer"
"102",38,6137,"Mujer"
"103",15,4090,"Mujer"
"104",58,23652,"Mujer"
"105",22,4090,"Mujer"
"106",38,6137,"Mujer"
"107",25,5740,"Mujer"
"108",31,5740,"Mujer"
"109",22,4090,"Mujer"
"110",49,24988,"Mujer"
"111",49,NA,"Mujer"
"112",47,24988,"Mujer"
"113",19,4090,"Mujer"
"114",56,23652,"Mujer"
"115",53,23652,"Mujer"
"116",55,23652,"Mujer"
"117",42,6137,"Mujer"
"118",21,4090,"Mujer"
"119",23,4090,"Mujer"
"120",22,4090,"Mujer"
"121",26,5740,"Mujer"
"122",48,24988,"Mujer"
"123",47,24988,"Mujer"
"124",62,17806,"Mujer"
"125",37,6137,"Mujer"
"126",38,6137,"Mujer"
"127",51,23652,"Mujer"
"128",49,24988,"Mujer"
"129",58,23652,"Mujer"
"130",54,23652,"Mujer"
"131",36,6137,"Mujer"
"132",41,6137,"Mujer"
"133",49,24988,"Mujer"
"134",15,4090,"Mujer"
"135",49,24988,"Mujer"
"136",51,NA,"Mujer"
"137",61,17806,"Mujer"
"138",28,5740,"Mujer"
"139",17,4090,"Mujer"
"140",15,4090,"Mujer"
"141",19,4090,"Mujer"
"142",40,6137,"Mujer"
"143",28,5740,"Mujer"
"144",53,23652,"Mujer"
"145",41,6137,"Mujer"
"146",23,4090,"Mujer"
"147",29,5740,"Mujer"
"148",29,5740,"Mujer"
"149",40,6137,"Mujer"
"150",56,23652,"Mujer"
"151",27,5740,"Mujer"
"152",46,24988,"Mujer"
"153",53,23652,"Mujer"
"154",63,17806,"Mujer"
"155",46,24988,"Mujer"
"156",18,4090,"Mujer"
"157",44,6137,"Mujer"
"158",51,23652,"Mujer"
"159",37,6137,"Mujer"
"160",53,23652,"Mujer"
"161",59,23652,"Mujer"
"162",29,5740,"Mujer"
"163",57,23652,"Mujer"
"164",43,NA,"Mujer"
"165",50,23652,"Mujer"
"166",27,5740,"Mujer"
"167",46,24988,"Mujer"
"168",21,NA,"Mujer"
"169",36,6137,"Mujer"
"170",42,6137,"Mujer"
"171",16,4090,"Mujer"
"172",56,23652,"Mujer"
"173",59,23652,"Mujer"
"174",20,4090,"Mujer"
"175",42,6137,"Mujer"
"176",42,6137,"Mujer"
"177",58,23652,"Mujer"
"178",58,23652,"Mujer"
"179",34,5740,"Mujer"
"180",44,6137,"Mujer"
"181",25,5740,"Mujer"
"182",42,6137,"Mujer"
"183",39,6137,"Mujer"
"184",53,23652,"Mujer"
"185",47,24988,"Mujer"
"186",15,4090,"Mujer"
"187",41,6137,"Mujer"
"188",27,5740,"Mujer"
"189",55,23652,"Mujer"
"190",17,4090,"Mujer"
"191",53,23652,"Mujer"
"192",20,4090,"Mujer"
"193",22,4090,"Mujer"
"194",41,6137,"Mujer"
"195",23,4090,"Mujer"
"196",51,23652,"Mujer"
"197",47,24988,"Mujer"
"198",56,NA,"Mujer"
"199",58,23652,"Mujer"
"200",38,NA,"Mujer"
"201",29,5740,"Mujer"
"202",46,24988,"Mujer"
"203",46,24988,"Mujer"
"204",38,6137,"Mujer"
"205",55,23652,"Mujer"
"206",63,17806,"Mujer"
"207",63,17806,"Mujer"
"208",26,5740,"Mujer"
"209",53,23652,"Mujer"
"210",16,4090,"Mujer"
"211",17,4090,"Mujer"
"212",63,17806,"Mujer"
"213",51,23652,"Mujer"
"214",63,17806,"Mujer"
"215",31,NA,"Mujer"
"216",63,17806,"Mujer"
"217",16,4090,"Mujer"
"218",16,4090,"Mujer"
"219",42,6137,"Mujer"
"220",37,6137,"Mujer"
"221",51,23652,"Mujer"
"222",46,24988,"Mujer"
"223",47,24988,"Mujer"
"224",15,4090,"Mujer"
"225",33,5740,"Mujer"
"226",16,4090,"Mujer"
"227",58,23652,"Mujer"
"228",40,NA,"Mujer"
"229",46,24988,"Mujer"
"230",20,4090,"Mujer"
"231",46,24988,"Mujer"
"232",18,4090,"Mujer"
"233",25,5740,"Mujer"
"234",31,5740,"Mujer"
"235",52,23652,"Mujer"
"236",38,6137,"Mujer"
"237",19,4090,"Mujer"
"238",48,24988,"Mujer"
"239",20,4090,"Mujer"
"240",36,6137,"Mujer"
"241",25,5740,"Mujer"
"242",62,17806,"Mujer"
"243",30,5740,"Mujer"
"244",47,24988,"Mujer"
"245",23,4090,"Mujer"
"246",20,4090,"Mujer"
"247",30,5740,"Mujer"
"248",43,6137,"Mujer"
"249",17,4090,"Mujer"
"250",34,5740,"Mujer"
"251",50,23652,"Mujer"
"252",33,5740,"Mujer"
"253",40,6137,"Mujer"
"254",17,4090,"Mujer"
"255",33,5740,"Mujer"
"256",34,5740,"Mujer"
"257",46,24988,"Mujer"
"258",21,4090,"Mujer"
